"filename", "language", "JSON", "Markdown", "Docker", "JSON with Comments", "Shell Script", "TypeScript", "JavaScript", "HTML", "CSS", "SCSS", "Python", "comment", "blank", "total"
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/listar-assuntos-admin/listar-assuntos-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/listar-assuntos-admin/listar-assuntos-admin.component.ts", "TypeScript", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 9, 86
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/selecionar-conceitos/selecionar-conceitos.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/selecionar-conceitos/selecionar-conceitos.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/selecionar-conceitos/selecionar-conceitos.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/selecionar-conceitos/selecionar-conceitos.component.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 9, 39
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/visualizar-assunto-admin/visualizar-assunto-admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/visualizar-assunto-admin/visualizar-assunto-admin.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/visualizar-assunto-admin/visualizar-assunto-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/visualizar-assunto-admin/visualizar-assunto-admin.component.ts", "TypeScript", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 11, 16, 132
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/visualizar-mslq/visualizar-mslq.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/visualizar-mslq/visualizar-mslq.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 3, 61
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/visualizar-mslq/visualizar-mslq.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/visualizar-mslq/visualizar-mslq.component.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 11, 9, 53
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/analytics-turma/analytics-turma.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/analytics-turma/analytics-turma.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/analytics-turma/analytics-turma.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/analytics-turma/analytics-turma.component.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 9, 34
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/analytics.module.ts", "TypeScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/dados-analytics/dados-analytics.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/dados-analytics/dados-analytics.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 26, 6, 57
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/dados-analytics/dados-analytics.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/dados-analytics/dados-analytics.component.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 4, 24
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/exportar-dados-analytics/exportar-dados-analytics.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/exportar-dados-analytics/exportar-dados-analytics.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/exportar-dados-analytics/exportar-dados-analytics.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/exportar-dados-analytics/exportar-dados-analytics.component.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 34, 11, 64
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/media-submissoes-acerto/media-submissoes-acerto.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/media-submissoes-acerto/media-submissoes-acerto.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/media-submissoes-acerto/media-submissoes-acerto.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/media-submissoes-acerto/media-submissoes-acerto.component.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/analytics-module/percentual-visualizacao-questoes/percentual-visualizacao-questoes.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
